model,val_auc,val_aupr,val_acc,intest_auc,intest_aupr,intest_acc,extest_auc,extest_aupr,extest_acc
GNNClassifier,0.9202628254518107,0.6323958212013838,0.9524272793286537,0.922886477888223,0.6669716752745912,0.948905109489051,0.9174848167574238,0.6196061519679357,0.9471128188707439
MLPClassifier,0.9181562756323289,0.6224309140092263,0.9507237647090175,0.9198745914237583,0.6643791063941312,0.9515815085158151,0.919596610843098,0.6292764017775836,0.9487138435265237
LogisticRegression,0.9151077522901085,0.6058284888279956,0.9501154551921343,0.9159935366091024,0.6465350917906553,0.9496350364963504,0.913896403278946,0.589132319895004,0.946845981428114
TabNetClassifier,0.9062655580666273,0.5754267418336724,0.9476209272389868,0.9057401186632928,0.5966385155060299,0.9321167883211678,0.9033545072146495,0.5514888120050128,0.9339844166933504
RandomForestClassifier,0.9084314207556767,0.6270717816293129,0.8673188894983335,0.9126825589121637,0.6622317945628192,0.8710462287104623,0.9016553366363251,0.6069560746777822,0.8576155406126588
SVC,0.9150701051739842,0.5682617937649795,0.945248645959864,0.9158676917707542,0.6239385744769453,0.9457420924574209,0.9158003827329336,0.5603758293903252,0.9424698473689828
GradientBoostingClassifier,0.9181128427604633,0.6163790423398783,0.9504196839721768,0.9196648500265113,0.6645515279574822,0.9506082725060827,0.9179898255158628,0.6336902512937447,0.9498345607855694
AdaBoostClassifier,0.9155320650376207,0.5987447909944741,0.9492637256404164,0.9124228990623722,0.6431686040515334,0.9484184914841849,0.9130087033335503,0.5797877908863309,0.9458319991461202
KNeighborsClassifier,0.8153415959656906,0.44457650833120266,0.9436669894008469,0.8334653305860007,0.49797023718515543,0.9435523114355231,0.8241109224164275,0.4706823557312898,0.9429501547657168
DecisionTreeClassifier,0.8842219425653784,0.5361365923742464,0.8000990223967157,0.856152638043398,0.5166507820003143,0.8121654501216545,0.8608694608508628,0.48574914517009404,0.8120930728999893
GaussianNB,0.8580906536760196,0.33250044506167015,0.8224838022231648,0.8673670910713926,0.37812253083160313,0.8199513381995134,0.8532555259989546,0.3394610426313021,0.8027003949194151
